project_code,project_name,venue_id,venue_name_norm,property_name,rn
RCPU2615,우즈(WOODZ) 리스닝 세션 _ 성수율,ven_pg_3b5c3f899358,성수율,,1
RCPU2617,아로셀_현대판교,ven_pg_159789df2690,현대백화점판교점,,1
RCPU2624,메디큐브_롯데 부산 (메디큐브 롯데백화점 부산본점 팝업스토어),ven_pg_72e175cae238,롯데백화점부산본점,,1
RCPU2631,이직로그_현대신촌 (이직로그 팝업스토어),ven_pg_2333f85666d7,현대백화점신촌점,,1
RIPU2603,피나(Feenah) 팝업스토어 'Feenah THE DATE GALLERY',ven_pg_ffeac0d15bb5,서울성동구연무장길99,,1
RIPU2603,피나(Feenah) 팝업스토어 'Feenah THE DATE GALLERY',ven_pg_5c2b8cae355d,서울성동구연무장길9,,2
RIPU2608,YES24 서울국제도서전 부스,ven_pg_ba631baa9f03,코엑스,,1
ROPU2607,도브 피파 월드컵 캠페인 (DOVE X FIFA 월드컵 26 캠페인),ven_pg_ba631baa9f03,코엑스,,1
RTPU2611,2026 커넥트현대 청주 원피스 팝업,ven_pg_cae834bfa9d6,커넥트현대,,1
RTPU2612,2026 현대아울렛 송도 원피스 팝업,ven_pg_6b9b0eed0bfc,현대프리미엄아울렛송도점,,1
RTPU2612,2026 현대아울렛 송도 원피스 팝업,ven_pg_0ea6cd6c9619,현대프리미엄아울렛,,2
RTPU2614,룰루레몬 Seoul 2026,ven_pg_cb153269c57b,롯데월드,,1
RTPU2616,베리즈 팝업스토어 2차,ven_pg_6d7b33f3d22f,롯데월드타워앤드롯데월드몰,,1
RTPU2616,베리즈 팝업스토어 2차,ven_pg_cb153269c57b,롯데월드,,2
RTPU2623,즛토마요 팝업스토어 제작 및 시공,ven_pg_4771a41e5da8,동원아이피,,1
RTPU2636,라임라잇어패럴 전시부스 디자인,ven_pg_057223d0c2e0,벡스코,,1
RTPU2644,SME 아티스트 게릴라 프로모션 A,ven_pg_3201da6adbdb,서울영등포구여의도한강공원길231,,1
RTPU2644,SME 아티스트 게릴라 프로모션 A,ven_pg_28ac1fe74b8d,한강버스여의도선착장,,2
RTPU2644,SME 아티스트 게릴라 프로모션 A,ven_pg_bf1f88591d4e,여의도공원관리사무소,,3
