project_code,project_name,client_name,venue_text,operating_from,operating_to,rev_mm,suggested_venue_id,suggested_venue_name,confirmed_venue_id,confirmed_brand_id
RCPU2602,레봄카페_조개소년,주식회사 레진엔터테인먼트(LEZHINEnt.),성수 키다리스튜디오 사옥 (레진 사내카페 '레봄카페'; 계약상 레진+키다리스튜디오 2개 사업자),2025-12-13,2026-01-18,27.3,,,,
RCPU2609,쿠키런 스위트랜드_오크밸리,스미스(스미스 컴퍼니) - 김정우 팀장 (jw.kim@smithcorp.kr) / 최종 IP 데브시스터즈(쿠키런),오크밸리 리조트 (강원특별자치도 원주시 지정면 오크밸리2길 40),2025-12-20,2026-02-18,48.7,,,,
RCPU2606,주토피아_추가 3개점 (클랩스 x 주토피아2),주식회사 클랩스 (담당 김재중 BIZ2팀 / 운영창구 이유진 팀장),"홍대 AK플라자, 분당 AK플라자, 신세계 대전(Art&Science), 수원 AK플라자(5층 애니메이트 앞) — 4개 백화점 입점 팝업",2025-12-22,2026-01-22,82.9,,,,
RTPU2607,SK인텔릭스 삼일빌딩 전시 연장,SK인텔릭스,삼일빌딩,2025-12-31,2026-01-31,65.4,,,,
RTPU2603,덴티스테 OY 팝업스토어,실란트로 주식회사 (브랜드 덴티스테/Dentiste) · 마케팅팀 이효정 팀장,올리브영N성수 (Olive Young N 성수),2026-01-03,2026-01-11,19.1,,,,
RTPU2605,2026 용과같이3 간담회,"세가(SEGA) — 게임 퍼블리셔. Sophy상 company_name은 이벤트명으로만 기재, 회사측 담당자 미상","삼익아트홀 엠팟홀 (서울 종로구 자하문로24길 24, 효자동/서촌 인근 — 좌표 미검증)",2026-01-09,2026-01-09,0.0,,,,
RCPU2610,딥퍼랑스_무신사 뷰티,"(주)티에스코스 (딥퍼랑스/Deep;erence 브랜드) — 담당 양지연 주임, 이민선 이사(tscos01@tscos.net)","성수 무신사 뷰티스페이스1 (서울 성동구 연무장길 81, 남경빌딩)",2026-01-14,2026-01-25,24.7,,,,
RTPU2606,베리즈(Verries) 팝업스토어 — 더현대서울 B2,오수연 상무 / (주)서연컴퍼니 (브랜드: Verries 베리즈),더현대서울 B2,2026-01-22,2026-01-28,19.6,,,,
RTPU2601,명일방주 6주년 팝업스토어,요스타 게임즈 (Yostar Games),"브이스퀘어 (V-Square), 더샵 스타시티 내 / 서울 광진구 아차산로 272 (자양동)",2026-01-23,2026-02-08,0.0,,,,
RXPU2601,NTK Partner marketing (나이키코리아 버짓형 팝업스토어),나이키코리아 / 담당 이지은(Notion) 또는 김지은(Sophy) — 표기 불일치,,2026-02-01,2026-03-24,212.0,,,,
RTPU2611,2026 커넥트현대 청주 원피스 팝업,"디벨니티((주)디벨니티, 추정 — 노션상 원피스IP 관련 발주처로 추정, 미확정)","커넥트현대 청주점 (커넥트 청주) — 충북 청주시 흥덕구 2순환로 1225, 청주센트럴시티(터미널복합)",2026-02-06,2026-02-15,145.8,ven_pg_cae834bfa9d6,커넥트현대,,
RCPU2607,NCT WISH BAKERY 팝업 (성수 슈매니아),(주)에스엠엔터테인먼트(SME) / 담당자 김혜진 (citron@smtown.com),"성수동 슈매니아(shoemania) 벽돌 건물, 서울 성동구 연무장13길 11 (성수동2가, 영성산업) — 레봄 옆, 1~3층 사용",2026-02-07,2026-02-22,239.2,,,,
RTPU2616,베리즈 팝업스토어 2차,(주)서연컴퍼니 / 오수연 상무,"롯데월드몰 (서울 송파구 올림픽로 300, 잠실)",2026-02-19,2026-02-25,16.4,ven_pg_6d7b33f3d22f,롯데월드타워앤드롯데월드몰,,
RTPU2616,베리즈 팝업스토어 2차,(주)서연컴퍼니 / 오수연 상무,"롯데월드몰 (서울 송파구 올림픽로 300, 잠실)",2026-02-19,2026-02-25,16.4,ven_pg_cb153269c57b,롯데월드,,
RCPU2614,레봄카페_근하신년,주식회사 레진엔터테인먼트 (LEZHIN Ent.),성수 키다리스튜디오 사옥 (레진엔터테인먼트 사옥 내 사내카페 '레봄'),2026-02-21,2026-03-22,52.5,,,,
RIPU2601,마피아42 팝업스토어,팀42(주) / 백경찬 팀장,"XYZ서울 (성수, 서울 성동구 연무장길 73, 성수동2가)",2026-02-25,2026-03-02,776.8,,,,
RCPU2613,바이오하자드 GGX (레지던트 이블 게임 런칭 이벤트),"(주)크리에이팁 / 담당 김다혜 (dahye.kim@creatip.co.kr, 010-9622-9302)","동대문 던던 B2층 GGX (GEN.G HQ 이스포츠 공간, 전체대관)",2026-02-26,2026-03-04,91.8,,,,
ROPU2604,2026 캘러웨이 Team-1 발대식 (Team-1 Pre-Season Tee Off),"휘닉스커뮤니케이션(휘닉스컴, PCI) — 담당자 정혜원 매니저 / won@pci.co.kr / 010-4070-3108 (엔드브랜드=캘러웨이/Callaway 골프)",한국 캘러웨이 본사,2026-02-27,2026-02-27,8.0,,,,
RCPU2615,우즈(WOODZ) 리스닝 세션 _ 성수율,이담엔터테인먼트(EDAM) / 담당자 양은하,"성수율 (성수이로16길 31, 서울 성수동), 3~4층 대관 + 1층 포토이즘·리셉션",2026-03-02,2026-03-02,35.8,ven_pg_3b5c3f899358,성수율,,
RTPU2614,룰루레몬 Seoul 2026,룰루레몬 (lululemon) / 발주 창구: Madlab(홍콩 에이전시),잠실 롯데월드몰 야외광장 (아레나 광장),2026-03-03,2026-03-17,1367.7,ven_pg_cb153269c57b,롯데월드,,
RTPU2627,제니 루비앨범 1주년 팝업,,"더현대 B2 아이코닉 존 (여의도 더현대서울로 추정, 팝가 매거진 근거)",2026-03-05,2026-03-11,61.4,,,,
RTPU2612,2026 현대아울렛 송도 원피스 팝업,,"현대프리미엄 아울렛 송도점 (인천 연수구 송도국제대로 123, 송도동)",2026-03-06,2026-03-15,46.9,ven_pg_6b9b0eed0bfc,현대프리미엄아울렛송도점,,
RTPU2612,2026 현대아울렛 송도 원피스 팝업,,"현대프리미엄 아울렛 송도점 (인천 연수구 송도국제대로 123, 송도동)",2026-03-06,2026-03-15,46.9,ven_pg_0ea6cd6c9619,현대프리미엄아울렛,,
RTPU2615,파마리서치 KLPGA 리쥬란 챔피언십 트로피 제작,"파마리서치 / 정환웅 (크리에이티브팀), hwjung@pharmaresearch.co.kr, 010-6368-4624",,2026-03-06,2026-03-06,21.3,,,,
RTPU2624,농심 배홍동 사내행사 (2026 배홍동 브랜드 사내 출정식),"농심 (Nongshim), 배홍동 브랜드팀 — 담당자명 데이터에 없음",농심 본사(서울) + 안성공장 + 부산 — 배홍동 출정식 3개 사업장,2026-03-11,2026-03-13,60.0,,,,
RTPU2625,웨이든 상해 시크 전시 (Weiden Shanghai SEEC Exhibition),웨이든(Weiden) / 시크(SEEC) 브랜드 (담당자 미상),중국 상해 (구체 공간명·주소 미상),2026-03-11,2026-03-13,12.8,,,,
RTPU2623,즛토마요 팝업스토어 제작 및 시공,"동원아이피(성수 공간, 임대인/추정 발주처) / 실제 즛토마요 IP 라이선시 미상",성수 동원아이피 (StageX 신규 제휴공간),2026-03-12,2026-03-29,43.4,ven_pg_4771a41e5da8,동원아이피,,
RIPU2603,피나(Feenah) 팝업스토어 'Feenah THE DATE GALLERY',"주식회사 크리엥 / 담당자 윤영훈(대표), younghun.y@creationforet.com, 82-010-2995-8456","서울 성동구 연무장길 99 (성수동2가) — 팝가 spot_id 5843, 위도 37.54115 / 경도 127.0602",2026-03-19,2026-03-22,165.0,ven_pg_ffeac0d15bb5,서울성동구연무장길99,,
RIPU2603,피나(Feenah) 팝업스토어 'Feenah THE DATE GALLERY',"주식회사 크리엥 / 담당자 윤영훈(대표), younghun.y@creationforet.com, 82-010-2995-8456","서울 성동구 연무장길 99 (성수동2가) — 팝가 spot_id 5843, 위도 37.54115 / 경도 127.0602",2026-03-19,2026-03-22,165.0,ven_pg_5c2b8cae355d,서울성동구연무장길9,,
RTPU2618,비오레 미디어데이 (Biore UV 2026 Global Kickoff Event @Seongsu),나인엠씨(NineMC) 김연우 대리 (kyw@ninemc.com) · 발주처 컬처스원 · 브랜드 비오레(Biore/Kao),"성수 차량 팝업존 (성수이로 18길 6-1 / 서울 성동구 연무장길 65, 성수동2가 영남공업사) · popga spot_id 5924",2026-03-19,2026-03-19,48.1,,,,
ROPU2603,캘러웨이 신세계강남 팝업 (NOTHING BEATS THIS PARK),"휘닉스커뮤니케이션즈(PCI, pci.co.kr) — 브랜드: 캘러웨이(골프)",강남 신세계백화점 오픈 스테이지 (서울 서초구 신반포로 176 / 반포동 19-3),2026-03-24,2026-04-05,155.1,,,,
RCPU2619,PSK 샘플링 행사 (퓨어스펙·큐티 만다린 오렌지 게릴라 샘플링),(주)피에스케이 인터내셔널 (PSK International) / 담당자 김나윤 (grace@opminternational.com),광화문역 5번 출구 동아일보 광장(3/27) + 뚝섬역 사거리 공터(3/28),2026-03-27,2026-04-05,35.0,,,,
RCPU2617,아로셀_현대판교,아로셀(브랜드) / 발주처 에프아이씨씨(FICC) — 담당 송하나 팀장,현대백화점 판교점 4층,2026-04-09,2026-04-23,98.6,ven_pg_159789df2690,현대백화점판교점,,
RIPU2602,Bloomtide POP-UP store,BLOOMTIDE (담당자 Elaine),"도어투성수(Door To Seongsu), 서울 성수동",2026-04-10,2026-04-19,437.8,,,,
